Date:  12:50, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Stress1
Plot step: 6   time : 31.4708 Microseconds
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (in)  ,Y (in)  ,Z (in)
1053  ,6.050e+06   ,-2.3  ,-2.5  ,2.6206
1054  ,7.560e+06   ,-2.3  ,-2.5  ,2.8643
1055  ,1.134e+07   ,-2.3  ,-2.5  ,3.1033
1056  ,1.123e+07   ,-2.3  ,-2.5  ,3.342
1057  ,1.493e+07   ,-2.3  ,-2.5  ,3.5852
1058  ,2.122e+07   ,-2.3  ,-2.5  ,3.8318
1059  ,1.997e+07   ,-2.3  ,-2.5  ,4.0745
1060  ,7.904e+06   ,-2.3  ,-2.5  ,4.3129
1061  ,6.385e+07   ,-2.3  ,-2.5  ,4.553
1062  ,2.493e+08   ,-2.053  ,-2.5  ,4.8
1063  ,2.778e+08   ,-1.8129  ,-2.5  ,4.8
1064  ,3.319e+08   ,-1.5745  ,-2.5  ,4.8
1065  ,3.200e+08   ,-1.3318  ,-2.5  ,4.8
1066  ,2.620e+08   ,-1.0852  ,-2.5  ,4.8
1067  ,2.933e+08   ,-0.84195  ,-2.5  ,4.8
1068  ,2.835e+08   ,-0.60329  ,-2.5  ,4.8
1069  ,2.346e+08   ,-0.3643  ,-2.5  ,4.8
1070  ,1.910e+08   ,-0.12055  ,-2.5  ,4.8
1071  ,1.427e+08   ,0.12056  ,-2.5  ,4.8
1072  ,1.461e+08   ,0.3643  ,-2.5  ,4.8
1073  ,2.274e+08   ,0.6033  ,-2.5  ,4.8
1074  ,2.764e+08   ,0.84195  ,-2.5  ,4.8
1075  ,3.845e+08   ,1.0852  ,-2.5  ,4.8
1076  ,4.719e+08   ,1.3318  ,-2.5  ,4.8
